feature1,feature2,label
0.3454,-0.3163,0
-1.0876,1.1899,1
2.2955,-0.3343,1
1.0584,1.7037,1
-0.3212,1.9390,1
1.0488,1.3879,1
0.2530,1.0568,1
-0.9708,0.5845,0
-0.1920,-1.3165,0
-0.9266,0.7327,1
-0.2497,-1.6169,0
-0.0673,-0.7355,0
-1.7881,-1.7504,0
-0.8418,0.9795,1
2.6968,-2.7767,0
2.3142,-2.2802,0
2.2719,2.3624,1
-2.0264,2.1455,1
1.8635,-1.5354,0
2.1771,0.4858,1
2.6837,-2.0071,1
-1.6777,2.9463,1
-0.1631,2.7425,1
-2.5352,2.4549,1
-2.3906,-0.6196,0
-0.2887,-0.4315,0
-2.0692,-1.5748,0
0.8176,0.4159,1
-0.1513,1.5257,1
1.7482,-0.0845,1
-0.4806,2.2905,1
-0.8771,-0.0500,0
-0.4139,-0.2328,0
1.0042,0.2070,1
2.5523,1.3497,1
-2.5439,0.4322,0
-2.2953,1.1887,1
0.0310,1.3743,1
1.4707,2.2513,1
-1.6987,1.6445,1
-1.1139,0.7287,1
0.1194,-0.6648,0
-1.3675,1.4255,1
-2.8774,1.4036,0
-2.2638,0.1356,0
-1.3681,1.3591,1
-1.0979,-1.2026,0
1.4560,-1.0005,1
-1.0317,-2.2828,0
-2.9686,-1.6027,0
0.2239,-2.5820,0
2.6174,0.1841,1
-2.8362,1.4865,0
-2.0362,2.0046,1
-2.4171,1.6675,1
1.5457,1.0217,1
2.1970,-0.0813,1
-1.7688,1.9665,1
2.3113,-2.7313,0
0.1466,2.0828,1
0.0830,1.1755,1
2.5382,-1.1113,1
2.7517,-1.1448,1
0.8354,2.9924,1
1.2108,-1.4157,0
2.3811,2.1937,1
1.4362,-2.5037,0
-1.0027,-2.4186,0
1.9907,2.8782,1
-1.2487,-1.9303,0
1.7800,-0.7627,1
-0.8631,0.7192,1
-0.7426,2.3080,1
2.7954,-2.9836,0
2.4944,1.0135,1
-2.9620,-1.0714,0
2.5479,-0.3801,1
-1.9271,2.2606,1
-0.1757,-0.8280,0
-1.7643,2.5206,1
-0.4934,2.5158,1
-1.3235,-2.2345,0
-0.6316,2.9379,1
-1.0507,-1.1807,0
2.7489,-0.4068,1
0.5496,-0.0322,1
0.2281,-2.6148,0
1.2480,-2.0394,0
1.7070,0.3687,1
2.1644,0.5354,1
1.2045,2.6435,1
-1.8648,-0.9193,0
-0.1901,-0.5849,0
2.1101,1.2898,1
-1.4717,2.4013,1
-1.9280,1.4076,1
1.9311,0.7996,1
0.6811,-0.2111,1
-0.5613,1.6469,1
1.5868,0.0656,1
1.7930,-1.4164,0
-0.9562,-0.7525,0
-2.5340,0.9211,0
-1.3770,0.6760,0
-2.7953,1.6978,1
0.9065,1.3529,1
-2.9875,0.1004,0
-1.5070,1.3546,1
-1.1357,-1.9757,0
-0.4868,1.4683,1
1.2705,-1.5039,0
2.2315,-2.8701,0
-0.3780,-0.0229,0
-1.8597,2.8551,1
-1.3892,2.7650,1
-1.8321,-1.4576,0
2.9677,-2.4300,0
1.0202,-0.9498,1
2.5900,1.3307,1
1.5460,-1.3429,0
-1.5016,2.9706,1
2.6364,1.2387,1
0.1606,1.4255,1
0.8472,-1.4503,0
-1.0733,0.0991,0
2.7809,-2.3086,0
1.5193,-0.3941,1
-2.0819,-1.3153,0
-0.9089,-0.7395,0
1.7997,-0.1156,1
1.1073,0.4127,1
-1.7734,-1.4903,0
0.8113,-1.9620,0
1.9288,-2.6641,0
1.4916,1.1688,1
2.9028,1.4848,1
1.8910,-1.2193,0
-0.1594,-0.1805,0
2.2486,2.3743,1
2.0681,-2.3160,0
-2.3624,-2.6513,0
0.0483,-1.5848,0
0.3276,-0.0189,1
-1.0653,-2.7272,0
-1.4294,-2.5649,0
-0.7892,2.8863,1
-0.2539,-1.1236,0
-1.9651,-2.1660,0
-1.6761,-1.7581,0
0.1054,-1.6542,0
1.0277,2.0012,1
1.0203,-0.8918,1
0.4902,0.0933,1
2.1295,1.6900,1
1.2840,2.5235,1
0.9303,-2.1395,0
1.2072,2.6261,1
2.0986,1.8416,1
-2.7663,-1.0059,0
0.8407,2.9176,1
1.5216,-0.1180,1
-2.5216,1.3623,0
-1.1423,-1.6763,0
-0.2054,-0.8232,0
-0.8061,-1.5427,0
0.3536,-0.4256,1
-0.7439,0.7472,1
-0.6198,-1.0743,0
-0.0677,-2.6380,0
-2.3557,1.6761,1
-1.0051,2.5066,1
1.4660,-2.7131,0
2.7988,-1.0358,1
1.6048,-2.3136,0
1.4113,-1.1517,0
1.8389,0.4839,1
-0.8695,1.1042,1
-2.4249,1.2095,1
-0.5599,1.4297,1
-1.2538,2.2644,1
2.2884,-0.8427,1
-1.2149,-0.0483,0
-0.0202,0.6780,1
-1.4869,-0.6652,0
1.4118,1.3225,1
0.5858,1.8251,1
-1.8311,-1.9625,0
-0.1411,-0.1663,0
-1.5485,0.1633,0
2.6839,0.4958,1
-0.9958,-1.0909,0
-2.9785,-0.6708,0
-1.8755,-1.7160,0
-0.8695,2.4725,1
1.3702,2.1796,1
-1.0754,-1.7553,0
-1.2963,0.5365,1
0.1564,0.9403,1
1.0520,0.2338,1
2.6833,-1.0655,1
1.6879,-2.4963,0
2.7945,-0.4173,1
0.7017,0.4457,1
-0.3488,-0.2330,0
-2.3586,-2.4118,0
-0.6136,2.9728,1
-2.2764,-2.8018,0
0.8133,0.6175,1
0.3638,2.0568,1
0.2088,-0.4685,0
-2.7717,-0.2200,0
2.1747,-0.1817,1
2.2483,-2.3504,0
1.9990,0.8428,1
-0.0467,-0.1196,1
0.4897,1.8179,1
-2.7933,2.0562,1
2.6949,2.7422,1
-0.9335,-1.9470,0
-1.8584,-2.1397,0
1.0445,-2.7921,0
-0.5111,2.6313,1
2.4137,-1.9994,0
0.8515,0.9776,1
-0.7670,-1.1967,0
-1.1886,1.4379,1
1.9262,0.4614,1
-2.2170,-0.1545,0
2.9982,-2.6410,0
0.3504,1.7421,1
0.4686,-1.6384,0
-0.2571,-0.3891,0
-2.0847,-0.0291,0
1.3731,-2.1838,0
-0.0926,-1.0544,0
2.8138,1.4713,1
0.6702,1.6259,1
-2.6011,0.9716,0
0.2124,-0.9916,0
-1.3880,-2.1668,0
-0.2552,0.8370,1
-1.1506,-2.8296,0
-1.3274,-0.4440,0
1.6774,0.6427,1
-1.4918,2.7742,1
-0.0151,1.3492,1
-1.7954,0.3916,0
0.5627,-1.4804,0
-0.3437,-1.7028,0
-2.4828,-1.8453,0
2.7234,0.9188,1
-1.3892,2.1631,1
-0.7029,0.7747,1
1.5813,-0.4151,1
-1.6683,1.5609,1
-1.3562,-0.4042,0
-0.2176,-1.1138,0
-0.7120,2.0682,1
0.3958,-0.8203,0
-2.9525,-1.2578,0
2.3999,2.4346,1
-2.5219,2.7375,1
1.6904,2.5433,1
0.8547,2.7372,1
0.5526,-1.3949,0
-1.8512,-2.4068,0
-1.5242,1.7388,1
-0.7677,-1.7613,0
0.1999,2.4810,1
-0.9918,-1.7091,0
-1.6476,2.9830,1
-1.0595,-1.4927,0
0.6327,0.3193,1
2.9229,2.1255,1
-1.0794,0.8024,1
0.4899,-1.8488,0
-0.5398,-0.1889,0
0.4528,1.7359,1
0.5859,1.2703,1
0.6160,2.6790,1
-1.4325,-1.0203,0
1.6925,-2.0561,0
2.0011,-0.8682,1
-2.0534,-0.2015,0
-0.0094,-1.0042,0
-0.5058,-0.6161,0
2.9398,0.9747,1
-1.2902,-0.6488,0
-1.8892,1.0062,1
-0.3137,-2.3567,0
0.8833,-0.0236,1
2.6018,-2.3406,0
1.2280,1.7399,1
-0.6585,-2.9795,0
-2.8954,-0.7974,0
1.4538,1.1221,1
1.7613,0.3664,1
-1.7983,2.0163,1
-2.1613,-0.5269,0
-0.8686,0.4709,1
2.1859,-2.1504,0
-0.2879,-1.5041,0
-1.8095,0.9668,1
2.0267,1.9625,1
1.5606,-0.3096,1
-0.1928,-2.2616,0
2.8355,-2.9439,0
-1.3321,2.0717,1
0.1465,-2.6162,0
-2.2558,0.2477,0
-2.5065,1.8888,1
0.5173,1.6985,1
2.1213,2.7460,1
1.2283,0.9602,1
0.9643,-1.8644,0
-1.1807,-2.5295,0
2.7297,-0.4492,1
-0.0400,-2.9638,0
0.5714,-0.3293,0
-1.1812,-0.7382,0
1.7631,2.3728,1
1.2008,-1.0187,0
1.1990,1.3253,1
0.5429,-0.7702,1
1.2021,-1.3650,0
-1.5914,-0.6502,0
1.5195,1.7823,1
-2.0536,0.7731,0
-1.9902,2.1609,1
2.4491,2.7535,1
-0.1814,2.2242,1
-1.3384,-0.2212,0
1.0412,0.6570,1
2.9946,-0.8358,1
-1.2702,2.2136,1
-0.8389,1.9179,1
2.7168,-0.1579,1
2.3728,2.8550,1
-2.6017,2.8464,1
-2.8207,-2.3444,0
-1.7656,1.6425,1
0.6192,2.7464,1
-0.6379,-1.4059,0
-0.3534,1.5717,1
0.0208,2.9228,1
0.5426,-0.5822,0
2.5156,-0.0421,1
1.5482,0.5192,1
-1.8929,-2.4682,0
0.5654,-0.5909,1
2.6558,-2.6003,0
2.2989,2.6780,1
2.8008,0.4089,1
1.8598,-0.0530,1
0.9975,1.2940,1
-1.0910,2.2745,1
2.2563,-2.4612,0
2.8296,0.7107,1
-1.5152,-0.1951,0
0.0336,-2.8990,0
2.0378,2.7228,1
0.7628,-1.2264,0
2.2636,-0.1371,1
-0.6147,-1.8280,0
1.1918,2.9576,1
-1.1705,1.4954,1
-0.5298,-2.2416,0
2.6374,0.0955,1
2.1442,0.2246,1
1.1815,1.7110,1
-0.6434,-2.2372,0
1.1075,-2.8402,0
-0.8712,1.8667,1
-1.0187,-0.5675,0
2.8883,-0.8674,1
-2.7438,2.5077,1
-0.3611,-1.0312,0
-1.4749,-1.1008,0
1.7498,2.7979,1
1.5691,0.5821,1
1.6021,-2.6317,0
-0.0312,0.8373,1
2.1107,-3.0000,0
-1.6875,-1.3287,0
0.9988,-1.7868,0
1.5690,1.5306,1
0.8678,-0.4845,0
1.4768,-2.0449,0
-1.4185,-2.8070,0
-1.0961,-1.7430,0
-0.8714,-2.6202,0
-2.4819,0.2858,0
-2.9987,-0.8911,0
-1.0916,-2.1805,0
0.0169,1.9492,1
2.6247,1.3451,1
-2.6810,-1.8724,0
1.0150,-2.9496,0
-0.3094,-1.2855,0
-2.0661,-2.7856,0
-0.0869,-0.2760,0
-1.2462,1.5882,1
2.5473,-0.6680,1
-1.6920,-1.6757,0
2.5529,1.3149,1
-0.9928,-2.8783,0
-2.6289,-2.4254,0
-0.7157,-0.0189,0
0.2483,1.2408,1
1.5417,-2.5530,0
1.6917,-2.5851,0
2.5367,2.5993,1
1.2761,2.2554,1
-2.4811,2.5464,1
-1.7199,2.9906,1
-1.4231,1.4967,1
0.9817,1.9465,1
-1.7177,-1.6034,0
1.2576,-0.2350,1
-0.3422,0.5231,1
2.9437,-0.2147,1
-2.9506,-1.0070,0
-2.8058,0.7557,0
-2.6030,-0.9681,0
-2.5219,-1.4180,0
-2.8084,0.2701,0
-0.7174,-1.8113,0
-0.6041,0.2657,1
2.4399,-2.2349,0
-1.9069,2.8127,1
0.1383,2.9866,1
1.9345,1.1474,1
0.4708,2.9821,1
-1.3995,-0.5166,0
1.1940,2.9088,1
0.4015,1.1084,1
-0.9660,1.5325,1
-2.6258,-2.3965,0
1.3718,-2.5202,0
-0.6157,-2.3233,0
0.3772,-2.3663,0
0.8063,-0.4249,1
2.8353,-0.8920,1
0.5035,-1.8545,0
2.5920,-2.0773,0
-0.9792,0.7983,1
0.2834,0.7126,1
2.5750,-0.9671,1
-2.7080,0.8496,0
-2.6623,-1.6117,0
1.8589,-2.9674,0
-2.8195,-2.9672,0
1.5272,0.2040,1
1.5389,-2.9240,0
-0.9461,1.1833,1
0.3333,1.6809,1
2.0919,1.8728,1
0.6053,-0.4879,0
-1.9026,0.3849,0
0.0928,-0.7288,0
2.6763,2.0663,1
-0.3516,-0.4551,0
0.8938,0.6311,1
-2.1874,0.9419,0
2.6412,0.2906,1
0.6282,-1.9515,0
-2.1570,-2.3208,0
-1.0182,-2.5032,0
2.2710,-2.7902,0
1.6447,1.6119,1
-0.9730,-0.6907,0
1.9728,-2.9550,0
-1.6958,1.8537,1
1.7868,-1.2798,1
-2.1651,-1.0378,0
0.0063,-2.0578,0
0.1753,2.3452,1
-1.0181,0.5308,1
1.2519,2.9193,1
-0.0041,1.3221,1
0.5821,-2.2127,0
-0.9357,1.3699,1
1.8765,-2.4165,0
0.5957,-2.2866,0
-0.8389,-2.3587,0
2.0432,-0.0658,1
-2.5826,1.6528,1
0.8851,-1.3807,0
-2.4496,0.7739,0
-1.0672,0.5475,1
-2.4162,0.4354,0
1.4674,-0.8528,1
1.1385,1.3026,1
1.2282,1.3636,1
1.3276,0.8825,1
1.0105,-1.7629,0
-2.0755,2.1227,1
1.0014,2.9448,1
1.6359,0.4568,1
2.3401,1.4625,1
0.5758,-2.7812,0
-0.3599,-2.5952,0
-1.8220,-0.0079,0
2.1555,0.1981,1
1.4746,2.4190,1
2.1348,-1.0731,1
1.1512,-0.1805,1
-2.1810,-1.7663,0
-0.9346,1.4447,1
1.3610,0.5512,1
-1.2795,2.6172,1
2.9265,0.4169,1
0.5554,-1.9233,0
0.6418,-0.0905,1
0.1306,-0.6674,0
-2.7895,-2.7582,0
2.3803,-0.3555,1
2.2428,-2.4483,0
2.1785,-2.0994,0
0.5967,-0.8960,0
1.8793,2.3065,1
1.2308,0.2795,1
-1.4361,-2.4725,0
0.4675,-1.9397,0
2.1841,2.5477,1
0.7445,-0.5892,1
-2.8429,-0.1159,0
0.8253,2.9155,1
2.4145,-2.4244,0
1.5208,-0.5220,1
-2.1426,1.0058,0
2.6097,-2.9269,0
-1.7735,-0.4926,0
-1.2289,1.9620,1
-2.6954,1.1974,0
-0.4514,-0.2980,0
-0.7295,0.4565,1
0.1611,1.8625,1
-0.6765,2.1658,1
0.0445,1.7838,1
-1.2378,1.6720,1
-2.3345,-2.7555,0
-1.4211,-2.1938,0
2.6083,-1.4032,1
-0.7268,0.2593,1
2.3929,-0.2854,1
0.8436,-2.3606,0
1.4612,-2.8412,0
-2.2211,-2.0568,0
-0.1943,1.5998,1
2.1505,0.6714,1
-1.3122,1.5158,1
1.2841,2.5970,1
1.3850,1.0010,1
0.6714,-2.6529,0
2.7940,1.9599,1
2.9362,2.1897,1
-0.4608,-0.5808,0
-2.9298,-0.9801,0
-0.4112,-1.5512,0
-2.6044,-1.8905,0
1.4537,0.0697,1
0.8186,-2.3803,0
0.7477,-1.6616,0
0.7513,1.9629,1
2.8652,-2.7789,0
-0.8769,2.8493,1
2.9910,0.2744,1
1.5511,-2.4528,0
1.0943,1.5805,1
1.7298,0.4579,1
2.8750,0.0066,1
-2.5689,0.8449,0
-1.7947,-1.3668,0
-2.5557,-1.9731,0
1.5752,-0.5099,1
-0.6422,-2.4823,0
-1.7319,-1.0881,0
-0.2356,-2.8074,0
-2.5544,0.3484,0
0.9534,-0.8010,1
-1.6744,1.6940,1
2.9069,-2.9268,0
2.7110,-0.6117,1
2.5443,-0.9459,1
1.0817,2.0163,1
2.9627,2.7575,1
1.0414,2.5065,1
2.6346,-1.6214,1
1.6937,1.2634,1
0.8599,1.2832,1
-1.5234,2.1334,1
-2.3677,0.2657,0
1.0742,0.5213,1
-1.6393,-0.6181,0
-0.3526,1.9809,1
2.2302,0.5769,1
-0.1038,2.2348,1
-2.5165,-2.6465,0
-0.9438,-2.5707,0
-2.8468,-1.3481,0
-1.0423,2.2160,1
1.9136,-1.4255,0
-0.1266,2.3046,1
-0.1542,-0.6973,0
2.2945,-0.3635,1
2.6887,-1.3173,1
2.7763,0.3671,1
-1.4954,-0.3952,0
-2.3643,-1.8593,0
2.1566,1.2792,1
0.8494,1.5436,1
-1.4839,-0.1517,0
1.6172,-2.0669,0
2.1301,0.9794,1
-2.0301,-0.6078,0
0.9230,1.1484,1
0.8265,0.3577,1
1.3061,-1.9106,0
-1.8721,-2.1796,0
-1.3991,-1.0769,0
0.9106,0.6904,1
0.4733,-1.5310,0
2.4244,-1.6909,0
-0.7515,0.2857,0
1.4080,1.8651,1
1.6636,2.9356,1
-1.5869,1.0013,1
1.6526,1.2901,1
-2.6238,2.5937,1
-0.2640,1.9872,1
0.2203,1.8133,1
2.1035,2.8118,1
-0.7253,0.2112,0
1.2841,0.7335,1
-2.6581,-1.2705,0
-2.5452,0.1633,0
-2.1053,-1.2744,0
1.3770,-2.1509,0
0.8313,0.9079,1
1.0234,-0.5733,1
1.4466,0.6341,1
1.9480,-0.4484,1
1.5303,-0.7079,1
-0.6877,0.8380,1
-1.7998,-0.7555,0
2.8776,2.9960,1
0.6336,-0.1033,1
-0.9207,-1.6584,0
-1.4081,-2.1338,0
-1.9813,-0.7978,0
-2.1472,1.5460,1
0.1349,-0.4623,0
0.7254,1.7297,1
0.7846,1.2401,1
-0.5529,-0.9442,0
-1.5204,-2.5422,0
-2.7262,-2.2201,0
-1.5242,2.2060,1
-1.8739,2.8855,1
1.7625,-0.5219,1
-1.0718,1.4592,1
-2.8374,-0.8434,0
2.3046,0.7478,1
0.2183,-1.7040,0
-0.0088,-0.9200,0
1.5441,1.6587,1
-1.1358,-2.0462,0
-2.9815,2.9542,1
0.1104,-2.3479,0
-0.0979,0.1152,0
2.8509,-2.0805,0
2.5005,-2.1301,0
-0.1937,-0.0961,1
-0.5675,0.6612,1
-1.7936,-1.6330,0
2.2758,2.7524,1
-2.2039,-0.8209,0
1.5360,-0.7578,1
0.1822,0.5341,1
1.4780,-1.1083,1
-2.7452,-1.3628,0
-0.1645,0.1163,1
0.3966,-2.3206,0
0.0408,1.5790,1
1.2364,1.3358,1
2.3209,1.5126,1
0.5788,-1.3180,0
-1.1646,-2.9552,0
1.4066,1.5891,1
1.7427,1.0724,1
-0.9404,0.2689,0
2.3385,1.4626,1
-1.8704,2.8398,1
-2.8612,-1.7904,0
-1.3952,-1.7013,0
-2.2432,-1.1519,0
-2.0069,-1.5479,0
1.2137,0.8780,1
0.9308,-0.6394,1
1.8540,-2.3546,0
2.0605,-0.7201,1
-2.6161,0.8455,0
-0.7997,-1.4415,0
-0.1305,-0.3075,0
2.0850,0.3862,1
-2.0985,1.3478,1
-0.9280,1.3495,1
0.4088,1.6042,1
-0.6950,-2.1793,0
-0.3791,-0.2199,0
2.0924,-2.9723,0
1.7164,2.8896,1
2.4075,0.8230,1
-1.6285,0.9330,1
-1.7769,0.3849,0
-2.5573,-1.0695,0
-2.3964,2.9460,1
-1.8744,2.1011,1
-2.6062,-0.3403,0
-0.1373,2.6153,1
-1.9659,-2.2691,0
2.5520,2.1080,1
0.2250,-1.2940,0
-0.4528,1.6126,1
2.6395,0.6377,1
-0.2564,-0.7485,0
2.2143,-2.7667,0
0.8334,-0.7308,0
-0.5768,-0.2490,0
-2.6769,-2.7183,0
-1.4023,-0.8793,0
-0.4348,1.8166,1
-2.9400,2.7170,1
-1.7456,1.4219,1
1.9461,0.1147,1
-0.6235,-0.5341,0
1.5632,1.0722,1
-2.9013,0.3830,0
1.2455,1.3060,1
-2.5601,-2.1469,0
-2.8073,-0.8526,0
0.0529,0.3079,1
-0.0435,2.9468,1
-2.9393,1.0924,0
-0.4658,-0.0854,0
-2.8036,0.5798,0
-0.2075,-1.2378,0
-2.1868,-0.9817,0
1.5857,-1.9051,0
-0.8097,1.8730,1
2.8447,-1.4842,1
1.0467,2.8683,1
2.8256,1.8934,1
-0.4554,-1.2024,0
-1.0964,2.6233,1
1.4611,-0.2711,1
1.0054,-0.5146,1
2.3296,0.0732,1
2.1989,1.2160,1
2.7260,-0.6862,1
-2.9041,1.7760,1
-0.9858,-1.2232,0
-1.1080,2.0915,1
-2.9242,-0.5099,0
-1.1426,-2.3695,0
1.0506,-1.4665,0
2.7926,-0.0553,1
1.3843,1.4638,1
2.4297,-1.9119,0
-1.3776,-2.9993,0
1.5153,-0.4022,1
-1.4053,0.2869,0
-0.7844,-0.2574,0
-1.9070,0.4559,0
1.4406,2.4500,1
2.7344,2.1693,1
2.4308,-1.9849,0
0.5073,2.6223,1
1.1408,-1.9487,0
-0.6163,2.9710,1
2.6349,-2.5705,0
-1.5325,-0.2652,0
-0.5054,2.2228,1
-0.5170,1.7901,1
-1.3305,1.9019,1
-1.0703,0.9522,1
-0.2033,2.1487,1
1.4770,2.4761,1
1.0609,2.2086,1
1.3377,-0.7254,1
0.6771,1.0838,1
-0.8825,-0.4932,0
2.6392,-0.8075,1
2.2544,-2.0506,0
2.5810,2.0581,1
1.1827,1.1408,1
1.7345,0.1266,1
-1.2009,2.8662,1
-2.7468,0.8700,0
1.0998,2.4828,1
0.2833,-1.6470,0
0.6210,0.3566,1
-0.7014,2.3043,1
-0.9227,2.9994,1
0.1011,2.4001,1
-1.8011,2.0048,1
2.0425,-2.3734,0
-2.5139,-0.5982,0
0.5683,1.0404,1
2.2961,-2.9254,0
1.2298,1.6991,1
-1.5864,1.3699,1
-0.6836,1.9300,1
2.1396,0.6422,1
-1.0477,2.7428,1
-1.1796,2.1481,1
0.3912,1.5845,1
1.1618,-1.6217,0
-0.8313,-1.9104,0
-0.9122,-0.9084,0
-2.8774,-2.7094,0
0.4281,-2.4659,0
1.0038,0.5075,1
-2.3286,1.7141,1
-0.9224,1.0715,1
-2.2895,-0.3373,0
-2.2977,2.3935,1
1.9652,-1.4917,0
-0.9787,-1.7998,0
-1.3402,-2.3025,0
0.3467,-0.2281,1
1.3400,-0.6793,1
-2.4514,-2.9477,0
-1.0402,2.8097,1
-1.6709,-2.4632,0
1.9710,1.4308,1
-0.1751,2.7147,1
0.6686,-2.6858,0
0.7865,2.2150,1
0.4385,-1.0320,0
-1.1950,0.5105,1
2.3510,1.8635,1
-2.0161,2.3626,1
-2.1804,0.8916,0
0.1524,2.5419,1
-2.8115,-0.1501,0
-1.4421,-2.3582,0
-2.1476,-0.5950,0
-1.6758,-1.4429,0
2.1519,-0.4299,1
1.6445,-0.8823,1
2.6862,-1.7603,1
-1.0701,1.3470,1
0.0050,-1.1445,0
-1.7032,0.7492,1
1.2196,-0.4220,1
-1.6462,-0.5402,0
-0.1749,-1.3770,0
0.7640,-1.2936,0
-1.3759,-0.3115,0
2.2041,-2.1834,0
-2.3731,-2.4583,0
0.5217,-1.1895,0
-2.2626,-0.1979,0
-0.8708,-1.6950,0
-2.1039,-0.9663,0
-2.9173,0.6437,0
-2.1129,0.9352,0
0.6245,-1.5767,0
-2.1611,2.8143,1
1.3426,-1.9828,0
-2.9724,-2.4764,0
-1.1678,0.4548,0
0.6450,-0.5273,1
0.2509,-1.8012,0
-0.5480,-0.7948,0
2.0396,1.7717,1
2.6531,-2.8644,0
0.1914,-2.0180,0
0.2393,0.4773,1
1.6505,-1.1780,1
1.8490,1.3486,1
-0.9154,-1.2341,0
1.2945,-1.3048,0
-0.8610,0.9967,1
-0.9044,-2.6756,0
1.2369,2.1538,1
-0.3637,-0.6974,0
-2.5368,2.7038,1
-1.9460,-0.4791,0
-0.3216,-0.9116,0
0.4961,1.5738,1
-0.5245,-1.1664,0
0.0221,0.1992,1
0.6197,-1.5236,0
-2.3524,-1.0150,0
0.9600,0.5859,1
-0.2186,-1.5160,0
-0.7543,-0.5843,0
-2.1347,-0.5832,0
-1.9135,0.2508,0
-2.3039,0.6424,0
-2.1105,2.1549,1
-2.7536,-0.1269,0
-1.6798,1.3429,1
0.6838,-2.0573,0
-0.3234,-2.3201,0
2.8966,-0.7115,1
-2.0903,-1.1364,0
2.9577,1.6953,1
-1.3810,0.7417,0
2.8358,0.0855,1
-1.7422,0.4139,0
2.7767,-2.1722,0
-2.2344,-1.1395,0
0.0243,-0.4329,0
0.9308,-1.6905,0
0.0474,-1.8904,0
-1.4447,1.8797,1
2.6765,-1.4052,1
2.4987,-2.6971,0
-1.7601,-2.5009,0
-2.9092,-1.1494,0
0.9146,-1.6058,0
2.2951,-1.2832,1
0.4620,2.9384,1
-0.4877,1.0511,1
2.5862,0.5648,1
2.0942,-0.7119,1
-0.0678,-1.6275,0
1.5594,2.1089,1
1.3198,1.4982,1
-1.4232,2.9194,1
0.7258,-0.9318,0
1.7863,-2.8196,0
0.2077,-0.9990,0
-2.8490,1.2722,0
0.6908,-1.4212,0
-2.8481,0.7329,0
-1.2719,-1.8048,0
0.1849,1.4969,1
-1.4127,1.0179,1
-0.0830,0.0518,1
1.3421,1.1137,1
0.9195,-1.7735,0
0.5444,2.4749,1
1.7916,0.4983,1
2.7734,-1.1600,1
1.0679,-1.1932,0
1.3463,-0.4044,1
0.7679,-0.3320,1
-2.0370,0.2707,0
-0.6960,0.4416,1
1.1196,0.7328,1
-1.4159,0.8608,1
0.9616,-0.6683,1
-0.4396,-1.7785,0
1.2693,1.2624,1
-0.0496,-1.5557,0
-2.4235,2.3744,1
-1.6619,-1.0616,0
-2.5254,-2.4314,0
-2.8895,0.4978,0
1.9561,-2.5073,0
0.2721,0.9689,1
2.0601,0.6628,1
2.7163,1.2584,1
-0.2716,0.1788,1
-0.2758,0.6814,1
2.2560,2.6345,1
0.9685,-0.7659,1
-2.3395,2.6368,1
1.0127,-0.9537,0
1.1743,-1.6971,0
0.4975,1.4103,1
-1.7764,1.7622,1
2.2357,2.2433,1
-2.2940,-0.2219,0
-0.1768,1.1719,1
-2.8651,2.5726,1
1.6626,1.6698,1
-2.5509,1.4071,1
-2.5096,-2.0241,0
1.2935,-1.5186,0
0.0112,-1.2033,0
-1.7701,0.7837,0
-1.3696,2.7060,1
-0.9642,-2.2588,0
-2.4951,-2.4136,0
-2.7274,0.1777,0
2.6277,2.6831,1
2.0934,-0.7591,1
-2.6996,1.4152,0
2.1572,1.4276,1
0.5560,2.0052,1
-1.7157,2.8972,1
